Avg_syn_flag,Avg_urg_flag,Avg_fin_flag,Avg_ack_flag,Avg_psh_flag,Avg_rst_flag,Avg_DNS_pkt,Avg_TCP_pkt,Avg_UDP_pkt,Avg_ICMP_pkt,Duration_window_flow,Avg_delta_time,Min_delta_time,Max_delta_time,StDev_delta_time,Avg_pkts_lenght,Min_pkts_lenght,Max_pkts_lenght,StDev_pkts_lenght,Avg_small_payload_pkt,Avg_payload,Min_payload,Max_payload,StDev_payload,Avg_DNS_over_TCP,Label
0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.4,0.6,0.0,7.419115,0.7419115,0.000226,3.076994,1.1997964635968932,96.4,54.0,145.0,38.47134575816714,0.3,6.9,0.0,38.0,20.12254125767088,0.0,0.0
0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.6,0.4,0.0,2.664420,0.266442,0.025528,0.923698,0.29463000896802755,103.5,54.0,331.0,84.42912872805083,0.5,7.0,0.0,38.0,17.828815627143232,0.0,0.0
0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.8,0.0,7.873360,0.787336,0.000251,5.173133,1.6795194243506666,143.5,54.0,331.0,75.96234447262523,0.2,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.5,0.5,0.0,5.900935,0.5900935,0.00026,4.374023,1.4041105799967386,91.0,54.0,151.0,41.400483088968905,0.4,6.9,0.0,38.0,19.05780679931455,0.0,0.0
0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.4,0.6,0.0,3.009908,0.3009908,4.3e-05,1.633997,0.5792425358310148,133.4,54.0,306.0,74.59103312210001,0.3,11.2,0.0,112.0,56.0,0.0,0.0
0.1,0.0,0.2,0.6,0.1,0.0,0.0,1.0,0.0,0.0,0.014183,0.0014183,4.2e-05,0.006513,0.002280848221848861,477.6,54.0,1514.0,643.7391120977849,0.6,422.4,0.0,1460.0,644.6022373870916,0.0,0.0
0.3,0.0,0.1,0.3,0.3,0.0,0.0,1.0,0.0,0.0,0.055975,0.0055975,4.4e-05,0.040264,0.012952470817484121,199.7,54.0,677.0,254.6719240295029,0.7,142.1,0.0,623.0,256.82871507853025,0.0,0.0
0.1,0.0,0.2,0.4,0.3,0.0,0.0,1.0,0.0,0.0,0.053079,0.0053079,4.9e-05,0.040758,0.013231844929940798,197.3,54.0,677.0,256.1180500385624,0.7,142.1,0.0,623.0,256.82871507853025,0.0,0.0
0.1,0.0,0.2,0.4,0.3,0.0,0.0,1.0,0.0,0.0,0.049813,0.0049813,2e-05,0.040739,0.013267183864499823,197.3,54.0,677.0,256.1180500385624,0.7,142.1,0.0,623.0,256.82871507853025,0.0,0.0
0.2,0.0,0.1,0.4,0.3,0.0,0.0,1.0,0.0,0.0,0.052554,0.0052554,2.5e-05,0.04023,0.012972546897197944,198.5,54.0,677.0,255.39914295514427,0.7,142.1,0.0,623.0,256.82871507853025,0.0,0.0
0.2,0.0,0.2,0.4,0.2,0.0,0.0,1.0,0.0,0.0,0.053546,0.0053546,2e-05,0.040342,0.013084722074915378,136.2,54.0,664.0,194.41181948522458,0.8,79.8,0.0,610.0,195.43785599406158,0.0,0.0
0.2,0.0,0.2,0.3,0.3,0.0,0.0,1.0,0.0,0.0,0.010346,0.0010346,1.6e-05,0.003582,0.0014366668986852094,201.1,54.0,703.0,260.8850108551445,0.7,144.7,0.0,649.0,262.31111722956433,0.0,0.0
0.2,0.0,0.2,0.4,0.2,0.0,0.0,1.0,0.0,0.0,0.010051,0.0010051,4.5e-05,0.003529,0.0014450476443510242,182.3,54.0,703.0,264.3608854913635,0.8,125.9,0.0,649.0,265.57963861042595,0.0,0.0
0.2,0.0,0.2,0.3,0.3,0.0,0.0,1.0,0.0,0.0,0.048248,0.0048248,3.4e-05,0.040427,0.013223187857362956,200.1,54.0,693.0,258.7579091652187,0.7,143.7,0.0,639.0,260.1854253326953,0.0,0.0
0.2,0.0,0.1,0.4,0.3,0.0,0.0,1.0,0.0,0.0,3.131435,0.3131435,6.8e-05,2.955034,0.9785761620088365,159.1,54.0,693.0,202.47932679110176,0.7,101.5,0.0,639.0,204.39246017839744,0.0,0.0
0.2,0.0,0.2,0.3,0.3,0.0,0.0,1.0,0.0,0.0,0.052973,0.0052973,3.3e-05,0.040919,0.013213544494612758,185.5,54.0,664.0,227.78901056313788,0.7,129.1,0.0,610.0,229.2395399285792,0.0,0.0
0.0,0.0,0.2,0.4,0.3,0.0,0.1,0.9,0.1,0.0,0.050550,0.005055,4e-05,0.040217,0.013052366643639766,166.4,54.0,602.0,193.8998596068485,0.6,109.4,0.0,548.0,203.35628285788906,0.03333333333333333,0.0
0.0,0.0,0.1,0.1,0.0,0.0,0.3,0.2,0.8,0.0,1.341455,0.1341455,6.9e-05,0.531946,0.19899729048225198,141.2,54.0,361.0,90.52660750666992,0.2,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.4,0.6,0.0,6.766570,0.676657,0.000205,4.242099,1.3800905806661246,155.6,54.0,359.0,106.58350925187463,0.3,6.9,0.0,38.0,20.12254125767088,0.0,0.0
0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.8,0.0,9.126287,0.9126287,0.091773,5.63948,1.7714987585452497,155.4,55.0,331.0,103.5226223263946,0.2,0.1,0.0,1.0,0.7071067811865476,0.0,0.0
0.2,0.0,0.0,0.1,0.0,0.0,0.5,0.3,0.7,0.0,1.250092,0.1250092,8.5e-05,0.763401,0.2479794928610249,116.0,54.0,329.0,79.67573170183141,0.3,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.3,0.7,0.0,0.0,1.0,0.0,0.0,0.182439,0.0182439,3e-06,0.109781,0.04099681527875062,484.8,54.0,1434.0,488.27765325341966,0.2,430.8,0.0,1380.0,488.27765325341966,0.0,0.0
0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.7,0.3,0.0,0.231424,0.0231424,0.00011,0.128952,0.04023342465158099,91.6,54.0,221.0,54.863871941783735,0.7,6.2,0.0,31.0,15.126451130702264,0.0,0.0
0.0,0.0,0.0,0.3,0.5,0.0,0.1,0.8,0.2,0.0,0.479473,0.0479473,3.4e-05,0.34096,0.11147366771661568,191.0,54.0,515.0,161.472391861065,0.3,104.4,0.0,461.0,171.95431286910403,0.02,0.0
0.0,0.0,0.0,0.2,0.2,0.0,0.1,0.4,0.6,0.0,7.413913,0.7413913,0.000214,4.679878,1.5527658549077388,136.5,54.0,331.0,83.64242676749376,0.3,6.9,0.0,38.0,20.12254125767088,0.05,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.9,0.0,7.108556,0.7108556,0.025607,4.124101,1.3133360283566151,131.1,66.0,211.0,61.7242073888177,0.1,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.6,0.3,0.0,0.0,1.0,0.0,0.0,1.402055,0.1402055,8.4e-05,1.015558,0.3397199250277515,572.3,54.0,1506.0,647.3865494775471,0.5,517.1,0.0,1452.0,648.4395714157008,0.0,0.0
0.0,0.0,0.1,0.2,0.7,0.0,0.0,1.0,0.0,0.0,0.984510,0.098451,1.1e-05,0.326155,0.15531230860189413,307.7,54.0,1506.0,438.6740247609835,0.3,253.7,0.0,1452.0,438.6740247609835,0.0,0.0
0.2,0.0,0.1,0.3,0.4,0.0,0.0,1.0,0.0,0.0,0.578324,0.0578324,6.4e-05,0.27686,0.11216692636844626,133.5,54.0,451.0,132.63672191365407,0.6,77.9,0.0,397.0,133.62089823244133,0.0,0.0
0.0,0.0,0.1,0.5,0.4,0.0,0.0,1.0,0.0,0.0,0.487707,0.0487707,4e-06,0.298216,0.11062104178681378,554.9,54.0,1506.0,658.7886948365496,0.5,500.9,0.0,1452.0,658.7886948365496,0.0,0.0
0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.4,0.6,0.0,4.350194,0.4350194,4e-06,1.477211,0.5689879834153891,102.5,54.0,329.0,87.31202030012184,0.4,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.4,0.6,0.0,7.122839,0.7122839,0.000182,4.085448,1.3992265749346235,279.2,54.0,1392.0,409.6168399316067,0.3,6.9,0.0,38.0,20.12254125767088,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.509578,0.6509578,3e-06,2.740675,1.114122851827965,257.3,60.0,1392.0,416.32654117758204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.6,0.4,0.0,4.691687,0.4691687,0.000231,2.271042,0.7861706588774334,138.5,54.0,359.0,113.79440525204508,0.5,7.0,0.0,38.0,17.828815627143232,0.0,0.0
0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.8,0.0,3.383852,0.3383852,0.000203,1.939472,0.6725098890035207,138.5,55.0,341.0,108.18939155224253,0.2,0.1,0.0,1.0,0.7071067811865476,0.2,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.435974,0.0435974,3.7e-05,0.123489,0.050452415871569296,625.2,62.0,1392.0,597.663190173938,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.3,0.7,0.0,9.794847,0.9794847,0.000272,6.083482,1.9460812976304458,141.9,54.0,359.0,114.36826482901627,0.2,6.9,0.0,38.0,20.223748416156685,0.0,0.0
0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.9,0.0,1.863930,0.186393,2e-06,0.771058,0.27284607205208217,149.6,54.0,364.0,118.17613972371919,0.1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.1,0.9,0.0,8.516978,0.8516978,0.000237,4.464109,1.4212160388404576,163.0,62.0,331.0,95.48123724935002,0.0,12.7,127.0,127.0,0.0,0.0,0.0
0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.4,0.6,0.0,5.707312,0.5707312,6.3e-05,3.007408,0.9968920681623183,175.1,54.0,331.0,105.69920634622676,0.1,46.0,0.0,209.0,92.30745726465801,0.0,0.0
0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.5,0.5,0.0,4.474805,0.4474805,0.000304,1.774232,0.5880518068072556,193.6,54.0,341.0,100.48570932116556,0.2,54.1,0.0,209.0,100.32048644220181,0.0,0.0
0.0,0.0,0.0,0.2,0.1,0.0,0.1,0.3,0.7,0.0,3.968361,0.3968361,0.000232,2.303609,0.7724908693440978,252.0,54.0,1146.0,332.83128859328514,0.2,16.6,0.0,166.0,95.84014468547787,0.1,0.0
0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.4,0.5,0.1,3.398127,0.3398127,0.026522,1.579154,0.48659338224538157,122.4,54.0,359.0,94.30706348000781,0.3,10.1,0.0,100.0,49.83556293785928,0.0,0.0
0.0,0.0,0.0,0.4,0.1,0.0,0.0,0.5,0.5,0.0,10.534238,1.0534238,0.039691,4.23292,1.3938934911249894,243.4,54.0,1454.0,433.8556339511003,0.3,148.7,0.0,1400.0,617.4874897518167,0.0,0.0
0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.9,0.1,0.0,1.061664,0.1061664,1e-06,0.522069,0.178575697951177,329.3,54.0,1454.0,436.5445249023543,0.3,265.0,0.0,1400.0,458.8488615849208,0.0,0.0
0.0,0.0,0.0,0.2,0.1,0.0,0.1,0.3,0.7,0.0,4.399527,0.4399527,0.000191,1.037379,0.44886720995384594,159.5,54.0,359.0,118.22130847600097,0.2,16.6,0.0,166.0,95.84014468547787,0.1,0.0
0.0,0.0,0.0,0.5,0.4,0.0,0.0,0.9,0.1,0.0,6.913784,0.6913784,4.7e-05,5.207775,1.7360616234680277,557.8,54.0,1454.0,601.1869370947221,0.3,494.7,0.0,1400.0,618.8188345549931,0.0,0.0
